Surface tension in mN * m-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
CsCl-LiCl,100-0,P1,920,1070,,163.46,-0.07841,,,,"For 100% CsCl, the departures from the recommended data set are: 940 K, -0.2%,1060 K, -0.4%.",
CsCl-Li2SO4,0-100,P1,1173,1373,,300.08,-0.064,,,,"For 100% Li2SO4, the departures from the recommended data set are: 1173 K, +1.4%, 1373 K, +1.7%.",
CsCl-Li2SO4,0.25-99.75,P1,1173,1373,,277.,-0.06001,,,,,
CsCl-Li2SO4,0.50-99.50,P1,1173,1373,,274.24,-0.058,,,,,
CsCl-Li2SO4,1.0-99.0,P1,1173,1373,,269.35,-0.054,,,,,
CsCl-Li2SO4,1.50-98.50,P1,1173,1373,,266.9,-0.05601,,,,,
CsCl-Li2SO4,2.00-98.00,P1,1173,1373,,262.04,-0.058,,,,,
CsCl-Li2SO4,3.00-97.00,P1,1173,1373,,257.84,-0.058,,,,,
CsCl-Li2SO4,10.00-90.00,P1,1173,1373,,223.06,-0.05,,,,,
CsCl-Li2SO4,50-50,P1,1173,1273,,218.65,-0.1,,,,,
CsCl-Li2SO4,100-0,P1,1173,1323,,173.1,-0.08601,,,,"For 100% CsCl, the departures from the recommended data set are: 1173 K, +1.0%, 1373 K, -3.8%.",
CsCl-MgCl2,0.0-100.0,P1,1010,1160,,65.3426,-0.003073,,,,"For 100% MgCl2, the results have been advanced as the recommended data set.",
CsCl-MgCl2,66.7-33.3,P1,980,1080,,114.4065,-0.044016,,,,,
CsCl-MgCl2,69.3-30.7,P1,950,1070,,125.1754,-0.053395,,,,,
CsCl-MgCl2,100.0-0.0,P1,950,1070,,162.0726,-0.076919,,,,"For 100% CsCl, the departures from the recommended data set are: 950 K, -0.18%, 1070 K, -0.14%.",
CsCl-NaCl,0-100,P1,1100,1140,,197.3,-0.074,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K, +3.4%, 1140 K, +3.5%.",
CsCl-NaCl,25-75,P1,1000,1140,,176.2,-0.074,,,,,
CsCl-NaCl,50-50,P1,860,1140,,163.9,-0.07,,,,,
CsCl-NaCl,75-25,P1,820,1140,,162.5,-0.074,,,,,
CsCl-NaCl,100-0,P1,980,1100,,159.2,-0.074,,,,"For 100% CsCl, the departures from the recommended data set are: 980 K, +3.8%,1100 K, +5%.",
CsCl-PbCl2,0.00-100.00,P1,791,845,,233.7,-0.124,,,,"For 100% PbCl2, the results have been advanced as the recommended data set.",
CsCl-PbCl2,18.10-81.90,P1,740,850,,192.7038,-0.099,,,,,
CsCl-PbCl2,18.23-81.77,P1,770,860,,192.6446,-0.09922,,,,,
CsCl-PbCl2,36.97-63.03,P1,860,890,,206.0883,-0.12528,,,,,
CsCl-PbCl2,49.50-50.50,P1,900,900,,540.5747,-0.5,,,,,
CsCl-PbCl2,59.89-40.11,P1,880,900,,173.7146,-0.09278,,,,,
CsCl-PbCl2,74.11-25.89,P1,780,900,,166.8733,-0.08329,,,,,
CsCl-SrCl2,100-0 SrCl2,I3,1123,,,73.26,0.9306,-0.01999,2.0358E-4,,"For 100% SrCl2 and 100% CsCl at 1123 K, the departures from the recommended data set are, respectively, +1.2% and +1.3%.",
CsF,100,P1,1048,1253,1%,184.6,-0.0808,,,,,
CsI,100,P1,900,1147,1.5%,-122.88,-0.05678,,,,,Function produces value(s) below zero.
CsNO3,100,P1,683,873,0.5%,142.3,-0.074,,,,,
CsNO3-KNO3,0-100,P1,620,673,,161.9,-0.081,,,,"For 100% KNO3, the departures from the recommended data set are: 620 K, +1.3%,670 K, +0.8%.",
CsNO3-KNO3,25-75,P1,620,673,,155.3,-0.079,,,,,
CsNO3-KNO3,50-50,P1,560,673,,150.4,-0.077,,,,,
CsNO3-KNO3,75-25,P1,540,673,,145.3,-0.074,,,,,
CsNO3-KNO3,100-0,P1,690,725,,142.3,-0.074,,,,"For 100% CsNO3, the results have been advanced as the recommended data set.",
CsNO3-LiNO3,25-75,P1,490,670,,143.4,-0.07,,,,,
CsNO3-LiNO3,43-57,P1,460,670,,145.2,-0.075,,,,,
CsNO3-LiNO3,50-50,P1,475,670,,145.1,-0.076,,,,,
CsNO3-LiNO3,75-25,P1,565,670,,142.5,-0.075,,,,,
CsNO3-NaNO3,0-100,P1,590,673,,153.99,-0.06,,,,"For 100% NaNO3, the departures from the recommended data set are: 590 K, -0.4%, 670 K, -0.7%.",
CsNO3-NaNO3,25-75,P1,600,673,,149.1,-0.068,,,,,
CsNO3-NaNO3,50-50,P1,500,673,,147.5,-0.074,,,,,
CsNO3-NaNO3,75-25,P1,525,673,,143.1,-0.072,,,,,
CsNO3-NaNO3,100-0,P1,690,725,,142.3,-0.074,,,,"For 100% CsNO3, the results have been advanced as the recommended data set.",
CsPO3,100,P1,1010,1314,1.5%,166.6,-0.0487,,,,,
CsSCN,100,P1,496,549,1.5%,109.44,-0.03196,,,,,
Cs2CO3,100,P1,1100,1220,1.5%,213.5,-0.0731,,,,,
Cs2CO3-Li2CO3,0-100,DP,,,,242.,1038K,,,,"For 100% Li2CO3 at 1038 K, the departure from the recommended data set is -0.2%.",
Cs2CO3-Li2CO3,3.5-96.5,DP,,,,213.,1038K,,,,,
Cs2SO4,100,P1,1309,1803,3%,180.942,-0.055092,,,,,
Cs2SO4-K2SO4,0-100,P1,1360,1460,,229.75,-0.065,,,,"For 100% K2SO4, the departures from the recommended data set are: 1370 K, +0.2%, 1460 K, +1.0%.",
Cs2SO4-K2SO4,25-75,P1,1260,1460,,218.72,-0.066,,,,,
Cs2SO4-K2SO4,50-50,P1,1210,1460,,211.9,-0.067,,,,,
Cs2SO4-K2SO4,75-25,P1,1210,1460,,207.84,-0.069,,,,,
Cs2SO4-K2SO4,100-0,P1,1300,1460,,193.33,-0.062,,,,"For 100% Cs2SO4, the departures from the recommended data set are: 1300 K, +3.1, 1450 K, +2.3%.",
Cs2SO4-Na2SO4,0-100,P1,1170,1360,,269.02,-0.066,,,,"For 100% Na2SO4, the results have been advanced as the recommended data set.",
Cs2SO4-Na2SO4,25-75,P1,900,1360,,214.33,-0.073,,,,,
Cs2SO4-Na2SO4,50-50,P1,940,1360,,224.71,-0.074,,,,,
Cs2SO4-Na2SO4,75-25,P1,1140,1360,,228.42,-0.066,,,,,
Cs2SO4-Na2SO4,100-0,P1,1300,1460,,193.33,-0.062,,,,"For 100% Cs2SO4, the departures from the recommended data set are: 1300 K, +3.1%, 1450 K, +2.3%.",
Cs2SO4-Rb2SO4,0-100,P1,1350,1460,,207.89,-0.06,,,,"For 100% Rb2SO4, the departures from the recommended data set are: 1350 K, -2.4%, 1460 K, -3.4%.",
Cs2SO4-Rb2SO4,50-50,P1,1330,1420,,205.52,-0.066,,,,,
Cs2SO4-Rb2SO4,100-0,P1,1300,1460,,193.33,-0.062,,,,"For 100% Cs2SO4, the departures from the recommended data set are: 1300 K, +3.1%, 1450 K, +2.3%.",
CuCl,100,DP,,,,92.,723K,,,,,
Cu2S,100,DP,,,,410.,1403.16K,,,,,
FeO,100,P1,1688,1696,,585.,-1.E-7,,,,"FeO2, recommended data, shift from previous evaluation.",Function produces unexpectedly large value(s).
Fe2O3-Li2CO3,100-92 Li2CO3,I1,1038,,,238.,0.024,,,,"For 100% Li2CO3 at 1038 K, the departure from the recommended data set is -0.2%.",
GaBr3,100,P1,392,408,2%,94.5,-0.15,,,,,
GaCl3,100,P1,354,413,2%,62.2,-0.0997,,,,,
GaCl3*C5H10NH,100,P1,398,433,2%,68.4,-0.084,,,,,
GaCl3*C5H5N,100,P1,398,433,2%,76.8,-0.097,,,,,
GeO2,100,P1,1473,1673,7%,170.3,0.056,,,,,
HgBr2,100,P1,514,549,,133.55,-0.1343,,,,,
HgCl2,100,DP,,,,56.1,566K,,,,,
KBO2,100,P1,1265,1415,3%,346.633,-0.17823,,,,,
KBr,100,P1,1012,1193,,-158.69,-0.06815,,,,,Function produces value(s) below zero.
KBr-KCl,0-100,P1,1023,1073,,155.2,-0.052,,,,"For 100% KCl, the results fall uniformly above the recommended data set, e.g.:1023 K, +1.3%, 1073 K, +2.5%.",
KBr-KCl,0-100,P1,1080,1170,,179.,-0.074,,,,"For 100% KCl, the results are approx. 3% higher than the recommended data set,e.g.: 1080 K, +2.7%, 1170 K, +2.8%.",
KBr-KCl,10-90,P1,1023,1073,,165.46,-0.06399,,,,,
KBr-KCl,20-80,P1,1023,1073,,169.8,-0.06999,,,,,
KBr-KCl,30-70,P1,1023,1073,,168.2,-0.06999,,,,,
KBr-KCl,40-60,P1,1023,1073,,166.6,-0.06999,,,,,
KBr-KCl,50-50,P1,1020,1170,,175.7,-0.077,,,,,
KBr-KCl,50-50,P1,1023,1073,,161.,-0.06599,,,,,
KBr-KCl,60-40,P1,1023,1073,,161.96,-0.068,,,,,
KBr-KCl,70-30,P1,1023,1073,,165.16,-0.072,,,,,
KBr-KCl,80-20,P1,1023,1073,,166.39,-0.07399,,,,,
KBr-KCl,90-10,P1,1023,1073,,174.17,-0.08199,,,,,
KBr-KCl,100-0,P1,1020,1120,,165.4,-0.073,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +2.8%,1120 K, +2.9%.",
KBr-KCl,100-0,P1,1023,1073,,182.06,-0.08999,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +1.9%,1070 K, +1.1%.",
KBr-LiBr,40-61.4 LiBr,I2,1073,,,78.733,0.373,-0.0030335,,,,
KBr-NaBr,0-100,P1,1040,1130,,175.3,-0.07,,,,"For 100% NaBr, the departures from the recommended data set are: 1060 K, 0.0%,1120 K, +0.6%.",
KBr-NaBr,25-75,P1,960,1170,,171.,-0.07,,,,,
KBr-NaBr,50-50,P1,910,1170,,171.4,-0.074,,,,,
KBr-NaBr,75-25,P1,960,1170,,167.7,-0.073,,,,,
KBr-NaBr,100-0,P1,1020,1120,,165.4,-0.073,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +2.8%,1120 K, +2.9%.",
KBr-NaCl,0-100,P1,1090,1220,,211.5,-0.09,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, +0.5%, 1220 K, -1.7%.",
KBr-NaCl,20-80,P1,1010,1210,,176.8,-0.0658,,,,,
KBr-NaCl,30-70,P1,1000,1220,,172.1,-0.065,,,,,
KBr-NaCl,40-60,P1,930,1150,,172.5,-0.0693,,,,,
KBr-NaCl,50-50,P1,940,1140,,169.2,-0.0697,,,,,
KBr-NaCl,70-30,P1,950,1170,,163.5,-0.0679,,,,,
KBr-NaCl,100-0,P1,1030,1170,,167.9,-0.0753,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +3.0%,1170 K, +2.7%.",
KBr-Na2SO4,100-35 Na2SO4,I2,1173,,,66.15,1.429,-0.0018,,,"For 100% Na2SO4 at 1173 K, the departure from the recommended data set is -0.4%.",
KBr-RbBr,0-100,P1,1000,1100,,157.7,-0.072,,,,"For 100% RbBr, the results have been advanced as the recommended data set.",
KBr-RbBr,50-50,P1,950,1170,,158.6,-0.07,,,,,
KBr-RbBr,100-0,P1,1020,1120,,165.4,-0.073,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +2.8%,1120 K, +2.9%.",
KBr-RbCl,0-100,P1,1030,1190,,171.3,-0.0749,,,,"For 100% RbCl, the departures from the recommended data set are: 1030 K, +2.3%, 1190 K, +2.7%.",
KBr-RbCl,15-85,P1,1030,1220,,163.,-0.0709,,,,,
KBr-RbCl,23-77,P1,1030,1200,,169.6,-0.0771,,,,,
KBr-RbCl,30-70,P1,1040,1230,,166.3,-0.0752,,,,,
KBr-RbCl,40-60,P1,1060,1220,,162.7,-0.0715,,,,,
KBr-RbCl,50-50,P1,1020,1240,,159.8,-0.0689,,,,,
KBr-RbCl,60-40,P1,1030,1280,,159.3,-0.0683,,,,,
KBr-RbCl,70-30,P1,1050,1230,,159.2,-0.0688,,,,,
KBr-RbCl,85-15,P1,1030,1190,,162.2,-0.071,,,,,
KBr-RbCl,100-0,P1,1030,1170,,167.9,-0.0753,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +3.0%,1170 K, +2.8%.",
KCl,100,P1,1089,1154,0.5%,175.57,-0.07321,,,,"KCl, recommended data, shift from previous evaluation.",
KCl,100,P1,1127,1209,1.5%,177.61,-0.07519,,,,,
KCl-KF,10-90 KCl,I2,1173,,,90.55,0.2167,4.763E-4,,,,
KCl-K2CrO4,0-100 KCl,I3,1173,,,138.36,-0.108,-9.98E-3,6.11E-5,,The agreement of the Polynomial with measurements is within 3.5%,
KCl-K2SO4,0-100,P1,1370,1400,,245.2,-0.0765,,,,"For 100% K2SO4, the results have been advanced as the recommended data set.",
KCl-K2SO4,20.8-79.2,P1,1270,1310,,205.85,-0.06204,,,,,
KCl-K2SO4,30.1-69.9,P1,1210,1270,,198.28,-0.06146,,,,,
KCl-K2SO4,39.8-60.2,P1,1190,1250,,212.03,-0.07469,,,,,
KCl-K2SO4,55.3-44.7,P1,1090,1180,,196.07,-0.07221,,,,,
KCl-K2SO4,64.6-35.4,P1,1090,1170,,186.22,-0.06743,,,,,
KCl-K2SO4,78.7-21.3,P1,1090,1200,,186.88,-0.07454,,,,,
KCl-K2SO4,84.7-15.3,P1,1090,1170,,177.5,-0.07187,,,,,
KCl-K2SO4,100-0,P1,1108,1200,,169.44,-0.06864,,,,"For 100% KCl, the departures from the recommended data set are: 1110 K, -1.1%,1200 K, -0.7%.",
KCl-K2ZrF6,0-100,P1,1073,1233,,192.46,-0.08051,,,,"For 100% K2ZrF6, the results have been advanced as the recommended data set.",
KCl-K2ZrF6,10-90,P1,1073,1173,,192.678,-0.082015,,,,,
KCl-K2ZrF6,20-80,P1,1073,1173,,193.,-0.08301,,,,,
KCl-K2ZrF6,30-70,P1,1073,1173,,191.11,-0.08201,,,,,
KCl-K2ZrF6,40-60,P1,1073,1173,,190.76,-0.083,,,,,
KCl-K2ZrF6,50-50,P1,1073,1173,,190.76,-0.08401,,,,,
KCl-K2ZrF6,60-40,P1,1073,1173,,188.87,-0.08301,,,,,
KCl-K2ZrF6,70-30,P1,1073,1173,,189.25,-0.084,,,,,
KCl-K2ZrF6,80-20,P1,1073,1173,,188.52,-0.084,,,,,
KCl-K2ZrF6,90-10,P1,1073,1173,,188.361,-0.084617,,,,,
KCl-K2ZrF6,100-0,P1,1073,1173,,177.061,-0.075458,,,,"For 100% KCl, the departures from the recommended data set are: 1070 K, -0.9%,1170 K, -1.3%.",
KCl-LaCl3,0-100,P1,1170,1260,,272.2,-0.132,,,,"For 100% LaCl3, the results have been advanced as the recommended data set.",
KCl-LaCl3,12-88,P1,1080,1170,,181.,-0.0581,,,,,
KCl-LaCl3,25-75,P1,1080,1170,,181.9,-0.0649,,,,,
KCl-LaCl3,38-62,P1,1080,1170,,179.7,-0.0672,,,,,
KCl-LaCl3,50-50,P1,1080,1170,,180.1,-0.0706,,,,,
KCl-LaCl3,63-37,P1,1080,1170,,177.9,-0.071,,,,,
KCl-LaCl3,75-25,P1,1080,1170,,176.2,-0.071,,,,,
KCl-LaCl3,88-12,P1,1080,1170,,176.7,-0.073,,,,,
KCl-LaCl3,100-0,P1,1080,1170,,187.,-0.0829,,,,"For 100% KCl, the departures from the recommended data set are: 1080 K, +1.0%,1170 K, +0.1%.",
KCl-LaCl3-NaCl,44.8-10.4-44.8,P1,973,1123,,147.946,-0.0546,,,,,
KCl-LaCl3-NaCl,46.8-9.3-46.9,P1,973,1123,,163.91,-0.0674,,,,,
KCl-LaCl3-NaCl,48.5-3.0-48.5,P1,973,1123,,159.015,-0.060199,,,,Estimated accuracy based on principles of the method: about 2.5%. KCl-NaCl ratio fixed at equimolar.,
KCl-LiCl,10-90,P1,880,1060,,183.3852,-0.0675324,,,,"Compared with the recommended data set for KCl, the results appear to be uniformly about 1% lower.",
KCl-LiCl,21-79,P1,840,1020,,183.53,-0.0710111,,,,,
KCl-LiCl,31-69,P1,780,880,,188.365,-0.0782852,,,,,
KCl-LiCl,42-58,P1,660,920,,189.5657,-0.0823478,,,,,
KCl-LiCl,50-50,P1,780,1020,,187.3435,-0.0808096,,,,,
KCl-LiCl,60-40,P1,880,1020,,189.4704,-0.0845251,,,,,
KCl-LiCl,70-30,P1,920,1060,,190.9364,-0.0869217,,,,,
KCl-LiCl,78-22,P1,980,1060,,196.2269,-0.0916605,,,,,
KCl-LiCl,85-15,P1,1020,1100,,189.5651,-0.0849146,,,,,
KCl-LiCl,90-10,P1,1040,1100,,187.4541,-0.0830993,,,,,
KCl-LiCl-PbCl2,0-0-100,P1,793,973,,228.5,-0.1167,,,,"For 100% PbCl2, the departures from the recommended data set are: 793 K 0.4%,880 K 1.0%.",
KCl-LiCl-PbCl2,5-15-80,P1,723,1073,,207.6,-0.099,,,,,
KCl-LiCl-PbCl2,10-10-89,P1,723,1073,,206.4,-0.1006,,,,,
KCl-LiCl-PbCl2,10-30-60,P1,723,1073,,210.1,-0.103,,,,,
KCl-LiCl-PbCl2,15-5-80,P1,723,1073,,206.2,-0.1029,,,,,
KCl-LiCl-PbCl2,15-45-40,P1,723,1073,,189.6,-0.0814,,,,,
KCl-LiCl-PbCl2,20-20-60,P1,723,1073,,202.9,-0.1009,,,,,
KCl-LiCl-PbCl2,20-60-20,P1,773,1073,,182.9,-0.0722,,,,,
KCl-LiCl-PbCl2,30-10-60,P1,723,1073,,199.,-0.1008,,,,,
KCl-LiCl-PbCl2,30-30-40,P1,723,1073,,197.3,-0.094,,,,,
KCl-LiCl-PbCl2,45-15-40,P1,723,1073,,186.7,-0.0883,,,,,
KCl-LiCl-PbCl2,60-20-20,P1,823,1073,,170.3,-0.0669,,,,,
KCl-Li2CrO4,0-100 KCl,I2,1173,,,201.45,-2.034,0.00929,,,The agreement of the Polynomial with measurements is within 3%.,
KCl-Li2SO4,0-100,P1,1173,1373,,300.08,-0.064,,,,"For 100% Li2SO4, the departures from the recommended data set are: 1170 K, +1.4%, 1370 K, +1.7%.",
KCl-Li2SO4,1-99,P1,1173,1373,,297.42,-0.074,,,,,
KCl-Li2SO4,2-98,P1,1173,1373,,290.98,-0.068,,,,,
KCl-Li2SO4,3-97,P1,1173,1373,,268.3,-0.056,,,,,
KCl-Li2SO4,5-95,P1,1173,1373,,291.85,-0.08,,,,,
KCl-Li2SO4,10-90,P1,1173,1373,,233.42,-0.044,,,,,
KCl-Li2SO4,35-65,P1,1173,1373,,209.75,-0.054,,,,,
KCl-Li2SO4,40-60,P1,1173,1373,,213.74,-0.062,,,,,
KCl-Li2SO4,45-55,P1,1173,1373,,222.42,-0.074,,,,,
KCl-Li2SO4,50-50,P1,1173,1373,,204.08,-0.064,,,,,
KCl-Li2SO4,55-45,P1,1173,1373,,200.83,-0.066,,,,,
KCl-Li2SO4,60-40,P1,1173,1373,,195.03,-0.066,,,,,
KCl-Li2SO4,75-25,P1,1173,1373,,207.75,-0.084,,,,,
KCl-Li2SO4,90-10,P1,1173,1373,,194.2,-0.082,,,,,
KCl-Li2SO4,95-5,P1,1173,1373,,202.99,-0.09,,,,,
KCl-Li2SO4,100-0,P1,1173,1373,,183.7,-0.078,,,,"For 100% KCl, the departures from the recommended data set are: 1170 K, +3.1%,1300 K, +2.9%.",
KCl-LuCl3,99.6-0.4,P1,1073,1173,,215.7,-0.106,,,,,
KCl-LuCl3,100-0,P1,1073,1223,,168.6,-0.06971,,,,"For 100% UCl3, the departures from the recommended data set are: 1089 K -3.2%,1154K -3.2%",
KCl-MgCl2,0-100,P1,1010,1160,,65.3426,-0.003073,,,,"For 100% MgCl2, the results have been advanced as the recommended data set.",
KCl-MgCl2,11.9-88.1,P1,1030,1131,,79.51,-0.01105,,,,,
KCl-MgCl2,20.4-79.6,P1,1017,1123,,102.02,-0.02936,,,,,
KCl-MgCl2,39.8-60.2,P1,1011,1129,,124.13,-0.04686,,,,,
KCl-MgCl2,47.9-52.1,P1,1016,1115,,126.83,-0.04799,,,,,
KCl-MgCl2,60-40,P1,1033,1142,,131.85,-0.05049,,,,,
KCl-MgCl2,66.9-33.1,P1,1020,1135,,128.13,-0.04548,,,,,
KCl-MgCl2,70.5-29.5,P1,993,1125,,133.4,-0.04892,,,,,
KCl-MgCl2,77.1-22.9,P1,1032,1133,,152.33,-0.06271,,,,,
KCl-MgCl2,85.3-14.7,P1,1068,1176,,152.84,-0.06007,,,,,
KCl-MgCl2,93.4-6.6,P1,1044,1118,,153.73,-0.05607,,,,,
KCl-MgCl2,100-0,P1,1089,1154,,175.57,-0.07321,,,,"For 100% KCl, the results have been advanced as the recommended data set.",
KCl-MnCl2,0-100 KCl,I2,1073,,,87.76,-0.2842,3.833E-3,,,"For KCl (100%,1073K) the departure from the recommended value is +18%.",
KCl-NaBr,0-100,P1,1050,1220,,173.4,-0.0682,,,,"For 100% NaBr, the departures from the recommended data set are: 1060 K, +0.05%, 1220 K, +2.3%.",
KCl-NaBr,15-85,P1,1010,1200,,153.9,-0.0527,,,,,
KCl-NaBr,30-70,P1,970,1180,,158.6,-0.0585,,,,,
KCl-NaBr,50-50,P1,920,1160,,165.4,-0.066,,,,,
KCl-NaBr,70-30,P1,970,1180,,165.,-0.0653,,,,,
KCl-NaBr,85-15,P1,1000,1200,,167.4,-0.0671,,,,,
KCl-NaBr,100-0,P1,1070,1260,,172.4,-0.071,,,,"For 100% KCl, the results are in close agreement (within 1%) with the recommended data set, i.e.: 1180 K, -0.8%, 1260 K, -0.5%.",
KCl-NaCl,0-100,P1,1080,1220,,187.,-0.068,,,,"For 100% NaCl, the departures from the recommended data set are: 1080 K, 0.0%,1220 K, +0.5%.",
KCl-NaCl,10-90,P1,1170,1220,,183.5,-0.068,,,,,
KCl-NaCl,25-75,P1,1010,1170,,181.2,-0.07,,,,,
KCl-NaCl,40-60,P1,980,1170,,180.4,-0.072,,,,,
KCl-NaCl,50-50,P1,980,1170,,179.3,-0.072,,,,,
KCl-NaCl,60-40,P1,980,1170,,177.3,-0.072,,,,,
KCl-NaCl,75-25,P1,980,1170,,178.,-0.074,,,,,
KCl-NaCl,90-10,P1,1030,1170,,178.1,-0.075,,,,,
KCl-NaCl,100-0,P1,1080,1220,,176.8,-0.075,,,,"For 100% KCl, the departures from the recommended data set are: 1020 K, -0.6%,1220 K, -1.1%.",
KCl-NaCl-NdCl3,42.5-42.5-15.0,P1,973,1123,,145.996,-0.052,,,,,
KCl-NaCl-NdCl3,46.9-46.9-6.2,P1,973,1123,,156.153,-0.0584,,,,,
KCl-NaCl-NdCl3,48.6-48.5-2.9,P1,973,1123,,146.308,-0.046,,,,Estimated accuracy based on principles of the method: about 2.5%. KCl-NaCl ratio fixed at equimolar.,
KCl-NaCl-PbCl2,0-0-100,P1,823,873,,227.9,-0.122,,,,"For 100% PbCl2, the departures from the recommended data set are: 830 K -3.2%, 880 K -3.2%.",
KCl-NaCl-PbCl2,10-30-60,P1,723,873,,192.6,-0.088,,,,,
KCl-NaCl-PbCl2,10-10-80,P1,773,873,,187.9,-0.083,,,,,
KCl-NaCl-PbCl2,20-20-60,P1,723,873,,206.,-0.111,,,,,
KCl-NaCl-PbCl2,30-10-60,P1,723,873,,196.2,-0.101,,,,,
KCl-NaCl-PbCl2,30-30-40,P1,823,873,,228.7,-0.14,,,,,
KCl-NaCl-PrCl3,42.4-42.4-15.2,P1,973,1123,,148.93,-0.0548,,,,,
KCl-NaCl-PrCl3,46.9-46.8-6.3,P1,973,1123,,153.688,-0.05599,,,,,
KCl-NaCl-PrCl3,48.6-48.5-2.9,P1,973,1123,,158.415,-0.0576,,,,Estimated accuracy based on principles of the method: about 2.5%. KCl-NaCl ratio fixed at equimolar.,
KCl-NaCl-SmCl3,42.6-42.7-14.7,P1,973,1123,,146.042,-0.054,,,,,
KCl-NaCl-SmCl3,46.9-47.0-6.1,P1,973,1123,,153.465,-0.0576,,,,,
KCl-NaCl-SmCl3,48.6-48.6-2.8,P1,973,1123,,156.707,-0.059,,,,Estimated accuracy based on principles of the method: about 2.5%. KCl-NaCl ratio fixed at equimolar.,
KCl-NaI,0.0-100.0,P1,960,1160,,172.,-0.09,,,,"For 100% NaI, the departures from the recommended data set are: 960 K, -2.4%, 1160 K, -7.4%.",
KCl-NaI,8.0-92.0,P1,920,1100,,147.6,-0.07,,,,,
KCl-NaI,15.0-85.0,P1,880,1080,,146.1,-0.069,,,,,
KCl-NaI,33.3-66.7,P1,820,1000,,141.6,-0.063,,,,,
KCl-NaI,50.0-50.0,P1,840,1020,,137.3,-0.057,,,,,
KCl-NaI,66.7-33.3,P1,860,1060,,145.2,-0.063,,,,,
KCl-NaI,85.0-15.0,P1,960,1160,,153.2,-0.066,,,,,
KCl-NaI,100.0-0.0,P1,1060,1260,,175.1,-0.073,,,,"For 100% KCl, the departures from the recommended data set are: 1070 K, -2.6%,1260 K, -1.6%.",
KCl-NaNO3,0-100,DP,,,,110.4,743K,,,,"For 100% NaNO3 at 743 K, the deparature from the recommended data set is +0.4%.",
KCl-NaNO3,10-90,DP,,,,109.1,743K,,,,,
KCl-NaNO3,30-70,DP,,,,109.1,743K,,,,,
KCl-Na2B4O7,100-30 Na2B4O7,I2,1223,,,178.5,-2.508,0.03025,,,"For 100% Na2B4O7 at 1223 K, the departure from the recommended data set is -0.6%.",
KCl-NdCl3,90-10,P1,1173.2,1223.2,,497.613,-0.354,,,,,
KCl-NdCl3,95-5,P1,1073.2,1223.2,,179.416,-0.076003,,,,,
KCl-NdCl3,98-2,P1,1073.2,1223.2,,193.898,-0.086003,,,,,
KCl-NdCl3,100-0,P1,1073.2,1223.2,,175.559,-0.0738,,,,"For 100% KCl, the departures from the recommended data set are: 1089 K, -0.7% and 1154 K, -0.8%,",
KCl-PbCl2,0.00-100.00,P1,795,845,,233.7,-0.124,,,,"For 100% PbCl2, the results have been advanced as the recommended data set.",
KCl-PbCl2,24.32-75.68,P1,770,770,,201.426,-0.104167,,,,,
KCl-PbCl2,35.88-64.12,P1,775,845,,193.7382,-0.098527,,,,,
KCl-PbCl2,50.87-49.13,P1,770,820,,193.1133,-0.100855,,,,,
KCl-PbCl2,51.15-48.85,P1,765,825,,196.6602,-0.105613,,,,,
KCl-PbCl2,63.14-36.86,P1,830,870,,180.9981,-0.085499,,,,,
KCl-PbCl2,68.23-31.77,P1,870,895,,169.9381,-0.073489,,,,,
KCl-PrCl3,0-100,P1,1103,1199,,146.1,-0.03729,,,,"For 100% PrCl3, the results have been advanced as the recommended data set.",
KCl-PrCl3,14-86,P1,1154,1225,,140.8,-0.03695,,,,,
KCl-PrCl3,29.1-70.9,P1,1093,1222,,142.3,-0.04043,,,,,
KCl-PrCl3,42.9-57.1,P1,1115,1215,,147.8,-0.04821,,,,,
KCl-PrCl3,56.9-43.1,P1,1093,1213,,155.,-0.05591,,,,,
KCl-PrCl3,80-20,P1,1091,1212,,166.2,-0.06692,,,,,
KCl-PrCl3,100-0,P1,1127,1209,,177.61,-0.07519,,,,"For 100% KCl, the departures from the recommended data set are: 1100 K -0.2%, 1200 K -0.5%.",
KCl-RbBr,0-100,P1,970,1170,,139.1,-0.0545,,,,"For 100% RbBr, the departures from the recommended data set are: 970 K, -1.8%,1170 K, +2.6%.",
KCl-RbBr,15-85,P1,1060,1220,,149.,-0.063,,,,,
KCl-RbBr,30-70,P1,1050,1240,,152.3,-0.0644,,,,,
KCl-RbBr,50-50,P1,1050,1220,,163.6,-0.0725,,,,,
KCl-RbBr,70-30,P1,1080,1220,,162.2,-0.0684,,,,,
KCl-RbBr,80-20,P1,1070,1230,,161.5,-0.0659,,,,,
KCl-RbBr,90-10,P1,1060,1250,,168.8,-0.0707,,,,,
